1982 Constructor Standings,11,Arrows Ford,5
1982 Constructor Standings,12,ATS Ford,4
1982 Constructor Standings,13,Osella Ford,3
1982 Constructor Standings,14,Fittipaldi Ford,1
1985 Constructor Standings,1,McLaren TAG,90
1985 Constructor Standings,2,Ferrari,82
1985 Constructor Standings,3,Lotus Renault,71
1985 Constructor Standings,4,Williams Honda,71
1985 Constructor Standings,5,Brabham BMW,26
1985 Constructor Standings,6,Ligier Renault,23
1985 Constructor Standings,7,Renault,16
1985 Constructor Standings,8,Arrows BMW,14
1985 Constructor Standings,9,Tyrrell Ford,4
1985 Constructor Standings,10,Tyrrell Renault,3
1984 Constructor Standings,1,McLaren TAG,143.5
1984 Constructor Standings,2,Ferrari,57.5
1984 Constructor Standings,3,Lotus Renault,47
1984 Constructor Standings,4,Brabham BMW,38
1984 Constructor Standings,5,Renault,34
1984 Constructor Standings,6,Williams Honda,25.5
1984 Constructor Standings,7,Toleman Hart,16
1984 Constructor Standings,8,Alfa Romeo,11
1984 Constructor Standings,9,Arrows BMW,3
1984 Constructor Standings,10,Ligier Renault,3
1984 Constructor Standings,11,Arrows Ford,3
1984 Constructor Standings,12,Osella Alfa Romeo,2
1983 Constructor Standings,1,Ferrari,89
1983 Constructor Standings,2,Renault,79
1983 Constructor Standings,3,Brabham BMW,72
1983 Constructor Standings,4,Williams Ford,36
1983 Constructor Standings,5,McLaren Ford,34
1983 Constructor Standings,6,Alfa Romeo,18
1983 Constructor Standings,7,Tyrrell Ford,12
1983 Constructor Standings,8,Lotus Renault,11
1983 Constructor Standings,9,Toleman Hart,10
1983 Constructor Standings,10,Arrows Ford,4
1983 Constructor Standings,11,Williams Honda,2
1983 Constructor Standings,12,Theodore Ford,1
1983 Constructor Standings,13,Lotus Ford,1
1981 Constructor Standings,1,Williams Ford,95
1981 Constructor Standings,2,Brabham Ford,61
1981 Constructor Standings,3,Renault,54
1981 Constructor Standings,4,Ligier Matra,44
1981 Constructor Standings,5,Ferrari,34
1981 Constructor Standings,6,McLaren Ford,28
1981 Constructor Standings,7,Lotus Ford,22
1981 Constructor Standings,8,Arrows Ford,10
1981 Constructor Standings,8,Alfa Romeo,10
1981 Constructor Standings,8,Tyrrell Ford,10
1981 Constructor Standings,11,Ensign Ford,5
1981 Constructor Standings,12,Theodore Ford,1
1981 Constructor Standings,12,ATS Ford,1
1980 Constructor Standings,1,Williams Ford,120
1980 Constructor Standings,2,Ligier Ford,66
1980 Constructor Standings,3,Brabham Ford,55
1980 Constructor Standings,4,Renault,38
1980 Constructor Standings,5,Lotus Ford,14
1980 Constructor Standings,6,Tyrrell Ford,12
1980 Constructor Standings,7,Arrows Ford,11
1980 Constructor Standings,7,Fittipaldi Ford,11
1980 Constructor Standings,7,McLaren Ford,11
1980 Constructor Standings,10,Ferrari,8
1980 Constructor Standings,11,Alfa Romeo,4
1974 Constructor Standings,1,McLaren Ford,73
1974 Constructor Standings,2,Ferrari,65
1974 Constructor Standings,3,Tyrrell Ford,52
1974 Constructor Standings,4,Lotus Ford,42
1974 Constructor Standings,5,Brabham Ford,35
1974 Constructor Standings,6,Hesketh Ford,15
1974 Constructor Standings,7,BRM,10
1974 Constructor Standings,8,Shadow Ford,7
1974 Constructor Standings,9,March Ford,6
1974 Constructor Standings,10,Iso Marlboro Ford,4
1974 Constructor Standings,11,Surtees Ford,3
1974 Constructor Standings,12,Lola Ford,1
1977 Constructor Standings,1,Ferrari,95
1977 Constructor Standings,2,Lotus Ford,62
1977 Constructor Standings,3,McLaren Ford,60
1977 Constructor Standings,4,Wolf Ford,55
1977 Constructor Standings,5,Brabham Alfa Romeo,27
1977 Constructor Standings,5,Tyrrell Ford,27
1977 Constructor Standings,7,Shadow Ford,23
1977 Constructor Standings,8,Ligier Matra,18
1977 Constructor Standings,9,Fittipaldi Ford,11
1977 Constructor Standings,10,Ensign Ford,10
1977 Constructor Standings,11,Surtees Ford,6
1977 Constructor Standings,12,Penske Ford,1
1975 Constructor Standings,1,Ferrari,72.5
1975 Constructor Standings,2,Brabham Ford,54
1975 Constructor Standings,3,McLaren Ford,53
1975 Constructor Standings,4,Hesketh Ford,33
1975 Constructor Standings,5,Tyrrell Ford,25
1975 Constructor Standings,6,Shadow Ford,9.5
1975 Constructor Standings,7,Lotus Ford,9
1975 Constructor Standings,8,March Ford,7.5
1975 Constructor Standings,9,Frank Williams Racing Cars/Williams,6
1975 Constructor Standings,10,Parnelli Ford,5
1975 Constructor Standings,11,Hill Ford,3
1975 Constructor Standings,12,Penske Ford,2
1975 Constructor Standings,13,Ensign Ford,1
1976 Constructor Standings,1,Ferrari,83
1976 Constructor Standings,2,McLaren Ford,74
1976 Constructor Standings,3,Tyrrell Ford,71
1976 Constructor Standings,4,Lotus Ford,29
1976 Constructor Standings,5,Penske Ford,20
1976 Constructor Standings,5,Ligier Matra,20
1976 Constructor Standings,7,March Ford,19
1976 Constructor Standings,8,Shadow Ford,10
1976 Constructor Standings,9,Brabham Alfa Romeo,9
1976 Constructor Standings,10,Surtees Ford,7
1976 Constructor Standings,11,Fittipaldi Ford,3
1976 Constructor Standings,12,Ensign Ford,2
1976 Constructor Standings,13,Parnelli Ford,1
1979 Constructor Standings,1,Ferrari,113
1979 Constructor Standings,2,Williams Ford,75
1979 Constructor Standings,3,Ligier Ford,61
1979 Constructor Standings,4,Lotus Ford,39
1979 Constructor Standings,5,Tyrrell Ford,28
1979 Constructor Standings,6,Renault,26
1979 Constructor Standings,7,McLaren Ford,15
1979 Constructor Standings,8,Brabham Ford,7
1979 Constructor Standings,9,Arrows Ford,5
1979 Constructor Standings,10,Shadow Ford,3
1979 Constructor Standings,11,ATS Ford,2
1979 Constructor Standings,12,Fittipaldi Ford,1
1973 Constructor Standings,1,Lotus Ford,92
1973 Constructor Standings,2,Tyrrell Ford,82
1973 Constructor Standings,3,McLaren Ford,58
1973 Constructor Standings,4,Brabham Ford,22
1973 Constructor Standings,5,March Ford,14
1973 Constructor Standings,6,Ferrari,12
1973 Constructor Standings,6,BRM,12
1973 Constructor Standings,8,Shadow Ford,9
1973 Constructor Standings,9,Surtees Ford,7
1973 Constructor Standings,10,Iso Marlboro Ford,2
1973 Constructor Standings,11,Tecno,1
1972 Constructor Standings,1,Lotus Ford,61
1972 Constructor Standings,2,Tyrrell Ford,51
1972 Constructor Standings,3,McLaren Ford,47
1972 Constructor Standings,4,Ferrari,33
1972 Constructor Standings,5,Surtees Ford,18
1972 Constructor Standings,6,March Ford,15
1972 Constructor Standings,7,BRM,14
1972 Constructor Standings,8,Matra,12
1972 Constructor Standings,9,Brabham Ford,7
1971 Constructor Standings,1,Tyrrell Ford,73
1971 Constructor Standings,2,BRM,36
1971 Constructor Standings,3,Ferrari,33
1971 Constructor Standings,3,March Ford,33
1971 Constructor Standings,5,Lotus Ford,21
1971 Constructor Standings,6,McLaren Ford,10
1971 Constructor Standings,7,Matra,9
1971 Constructor Standings,8,Surtees Ford,8
1971 Constructor Standings,9,Brabham Ford,5
1969 Constructor Standings,1,Matra Ford,66
1969 Constructor Standings,2,Brabham Ford,49
1969 Constructor Standings,3,Lotus Ford,47
1969 Constructor Standings,4,McLaren Ford,38
1969 Constructor Standings,5,Ferrari,7
1969 Constructor Standings,5,BRM,7
1970 Constructor Standings,1,Lotus Ford,59
1970 Constructor Standings,2,Ferrari,52
1970 Constructor Standings,3,March Ford,48
1970 Constructor Standings,4,Brabham Ford,35
1970 Constructor Standings,4,McLaren Ford,35
1970 Constructor Standings,6,BRM,23
1970 Constructor Standings,6,Matra,23
1970 Constructor Standings,8,Surtees Ford,3
2002 Constructor Standings,1,Ferrari,221
2002 Constructor Standings,2,Williams BMW,92
2002 Constructor Standings,3,McLaren Mercedes,65
2002 Constructor Standings,4,Renault,23
2002 Constructor Standings,5,Sauber Petronas,11
2002 Constructor Standings,6,Jordan Honda,9
2002 Constructor Standings,7,Jaguar Cosworth,8
2002 Constructor Standings,8,BAR Honda,7
2002 Constructor Standings,9,Minardi Asiatech,2
2002 Constructor Standings,10,Toyota,2
2002 Constructor Standings,11,Arrows Cosworth,2
2007 Constructor Standings,1,Ferrari,204
2007 Constructor Standings,2,Sauber BMW,101
2007 Constructor Standings,3,Renault,51
2007 Constructor Standings,4,Williams Toyota,33
2007 Constructor Standings,5,Red Bull Renault,24
2007 Constructor Standings,6,Toyota,13
2007 Constructor Standings,7,STR Ferrari,8
2007 Constructor Standings,8,Honda,6
2007 Constructor Standings,9,Super Aguri Honda,4
2007 Constructor Standings,10,Spyker Ferrari,1
2007 Constructor Standings,EX,McLaren Mercedes,0
2019 Constructor Standings,1,Mercedes,739
2019 Constructor Standings,2,Ferrari,504
2019 Constructor Standings,3,Red Bull Racing Honda,417
